"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.299945416E-1,-1.161857976E0,-9.573055619E-1,8.992222452E-1
3.400235418E-1,-7.155723844E-1,-9.172047722E-1,7.812160778E-1
3.500525416E-1,-2.858050672E-1,-1.005313541E0,3.143872440E-1
3.600815418E-1,1.629341260E-2,-1.086157437E0,-6.031057960E-1
3.701105416E-1,-5.477655543E-1,-1.347052306E0,-1.717524288E0
3.801395418E-1,-1.756097931E-1,-8.319099757E-1,-3.039913039E0
3.901685416E-1,1.742817077E-1,2.635515511E-2,-3.360317652E0
4.001975418E-1,-4.577843606E-2,4.882685271E-1,-3.180224580E0
4.102265416E-1,-4.102970758E-1,5.603515399E-1,-2.817569155E0
4.202555418E-1,-5.190447620E-1,3.911845744E-1,-2.482508495E0
4.302845416E-1,-4.299926908E-1,-8.065576181E-2,-2.095955501E0
4.403135418E-1,-4.190794475E-1,-7.044497377E-1,-1.594770766E0
4.503435418E-1,-2.343013299E-1,-1.269410199E0,-9.331559765E-1
4.603725416E-1,4.595469307E-2,-1.662313855E0,-5.004684502E-1
4.704015418E-1,3.139230482E-1,-1.676615852E0,-6.986452067E-1
4.804305416E-1,5.378924576E-1,-1.285152073E0,-1.123767605E0
4.904595418E-1,5.089519196E-1,-5.284454767E-1,-1.835235756E0
5.004885416E-1,4.685468920E-1,2.726998124E-1,-2.536479465E0
5.105175418E-1,4.403419702E-1,8.379744154E-1,-2.954882829E0
5.205465415E-1,3.260815291E-1,1.085046028E0,-3.120854291E0
5.305755418E-1,2.713355839E-1,1.025759062E0,-2.963569452E0
5.406045420E-1,7.755483717E-2,8.346708848E-1,-2.293852760E0
5.506335418E-1,-7.650292307E-2,6.450113288E-1,-1.297152168E0
5.606625420E-1,5.354807004E-3,3.929969189E-1,-8.622380215E-1
5.706915418E-1,6.463542880E-1,1.114438373E-1,-1.036289166E0
5.807215418E-1,4.463260838E-1,-1.023867926E-1,-8.798474962E-1
5.907505420E-1,1.229332506E-1,6.796321079E-2,-1.070281954E0
6.007795418E-1,-3.228825174E-2,4.643769501E-1,-1.007275867E0
6.108085420E-1,-2.840920888E-1,8.307089576E-1,-5.698088264E-1
6.208375418E-1,-1.777193589E-1,1.059622480E0,-4.052985835E-1
6.308665420E-1,-3.321456034E-2,1.147552032E0,-4.461905015E-1
6.408955418E-1,1.365503926E-1,1.273420658E0,-4.323764545E-1
6.509245420E-1,2.109019423E-1,1.437283030E0,-3.470503753E-1
6.609535418E-1,1.789529387E-1,1.463355472E0,-1.122431517E-1
6.709825420E-1,2.316886478E-1,1.235075203E0,2.569909751E-2
6.810115417E-1,1.540049526E-1,8.449498513E-1,3.404646564E-1
6.910405420E-1,1.423077073E-2,5.051292658E-1,1.259732326E0
7.010695417E-1,-4.851689546E-1,3.736186615E-1,2.498135179E0
7.110985420E-1,-1.905185851E-1,5.846169001E-1,3.390232592E0
7.211285420E-1,2.049958525E-1,5.729619375E-1,3.498258147E0
7.311575417E-1,4.556675589E-1,5.926819646E-1,2.791234465E0
7.411865420E-1,7.041561344E-1,9.291474178E-1,1.774052830E0
7.512155417E-1,3.807260983E-1,1.136205510E0,1.216100403E0
7.612445420E-1,1.216613167E-1,1.261843756E0,1.494934237E0
7.712735417E-1,1.094699452E-1,1.165020589E0,2.680188823E0
7.813025420E-1,4.837083201E-1,8.620123190E-1,4.160134308E0
7.913315417E-1,8.877570248E-1,2.853300905E-1,5.182515872E0
8.013605420E-1,1.024933947E0,-5.373866004E-1,5.408331832E0
8.113895417E-1,8.733605220E-1,-1.355346289E0,5.194933603E0
8.214185419E-1,4.272768053E-1,-1.815312831E0,4.423838471E0
8.314475417E-1,-2.215311936E-1,-1.663740722E0,2.900635870E0
8.414765419E-1,-2.868589181E-3,-1.142716385E0,1.266028608E0
8.515065419E-1,6.306601419E-1,-6.294495490E-1,1.815934682E-1
8.615355417E-1,8.640057810E-1,-2.981977656E-1,-1.844603580E-1
8.715645419E-1,6.765719676E-1,-1.965813437E-1,1.473878413E-1
8.815935417E-1,5.370172756E-1,-5.353938693E-1,9.600432283E-1
8.916225419E-1,9.200999480E-2,-9.211110047E-1,1.346396248E0
9.016515417E-1,-2.267875664E-1,-1.141178567E0,1.229893985E0
9.116805419E-1,-3.350449453E-1,-1.359430569E0,6.454805678E-1
9.217095417E-1,-2.083227537E-1,-1.591124150E0,-4.593134075E-1
9.317385419E-1,1.281624338E-1,-1.623927907E0,-1.179928358E0
9.417675417E-1,7.296893902E-1,-1.230795333E0,-1.666373430E0
9.517965419E-1,1.180617525E0,-6.404604408E-1,-2.296445416E0
9.618255417E-1,1.315233513E0,-2.444779336E-2,-2.742381563E0
9.718545419E-1,1.354785833E0,4.398626447E-1,-2.970546350E0
9.818835417E-1,1.091211990E0,5.253813896E-1,-2.936403288E0
9.919125419E-1,3.645319422E-1,2.899607930E-1,-2.871241332E0
1.001942542E0,-7.654758118E-2,-1.683457240E-1,-2.955851712E0
1.011971542E0,2.572477045E-1,-9.798682129E-1,-2.913833621E0
1.022000542E0,-1.228318379E-1,-1.437972416E0,-3.391897295E0
1.032029542E0,-2.784499277E-1,-1.408149570E0,-4.104134354E0
1.042058542E0,1.051819079E-2,-1.101251147E0,-4.506829757E0
1.052087542E0,1.914609735E-1,-5.835132381E-1,-4.617011765E0
1.062116542E0,3.914129812E-1,2.176567554E-2,-4.269943264E0
1.072145542E0,4.172715250E-1,6.514134452E-1,-3.360023537E0
1.082174542E0,1.537916023E-1,1.000516193E0,-2.210586655E0
1.092203542E0,-1.806738473E-2,7.080820280E-1,-1.177706416E0
1.102232292E0,-7.323823985E-2,2.615854248E-1,-9.578329808E-1
1.112261292E0,4.125722274E-3,-2.999183089E-2,-1.446992331E0
1.122290292E0,-1.316631436E-1,-1.122563079E-1,-1.855825557E0
1.132319292E0,-2.434035443E-1,-4.812404662E-2,-1.870383954E0
1.142348292E0,-1.328310518E-1,3.269236743E-2,-1.538171473E0
1.152378292E0,1.809393475E-1,3.931091854E-1,-1.145504045E0
1.162407292E0,4.458458081E-1,1.071669206E0,-6.198662549E-1
1.172436292E0,7.336938559E-1,1.303306947E0,1.335977679E-1
1.182465292E0,9.071319931E-1,1.075875401E0,8.371195525E-1
1.192494292E0,2.194373788E-1,1.208445813E0,4.828262311E-1
1.202523292E0,-5.092435129E-2,1.182021953E0,-2.762435174E-1
1.212552292E0,-2.524041268E-1,1.264692227E0,-1.106763902E0
1.222581292E0,-2.620549563E-1,1.550833911E0,-1.448398587E0
1.232610292E0,1.333244106E-1,1.671467232E0,-1.003706726E0
1.242639292E0,3.904858321E-1,1.831646150E0,3.608199835E-2
1.252668292E0,1.968313853E-1,1.959936693E0,1.470854234E0
1.262697292E0,1.135207317E-1,1.613927122E0,2.337468311E0
1.272726292E0,-4.847206559E-2,1.151024694E0,2.362086843E0
1.282755292E0,-3.243993583E-1,8.120750508E-1,2.229150980E0
1.292784292E0,-1.730063204E-1,9.175240302E-1,2.157234905E0
1.302813292E0,3.296555666E-1,1.307958114E0,2.016810513E0
1.312843292E0,7.609505054E-1,1.683806027E0,2.606136176E0
1.322872292E0,1.120786183E0,1.637617262E0,4.511948994E0
1.332901292E0,5.225324799E-1,1.064230963E0,6.211205996E0
1.342930292E0,-4.669866356E-1,1.942835341E-1,7.308865199E0
1.352959292E0,-7.271801307E-1,-8.592644200E-1,8.183258997E0
1.362988292E0,-1.145128069E0,-1.509264155E0,7.583069792E0
1.373017292E0,-1.383174796E0,-1.758176617E0,6.128656760E0
1.383046292E0,-1.217203407E0,-1.428712181E0,4.170797875E0
1.393075292E0,-7.087388165E-1,-8.716865373E-1,1.842172308E0
1.403104292E0,-5.245679688E-1,-4.459621677E-1,3.269529104E-2
1.413133292E0,-7.274377736E-1,-1.594339827E-1,-6.857374781E-1
1.423162292E0,2.079174869E-2,-1.343383178E-1,-9.514881670E-1
1.433191292E0,-7.493355963E-1,-1.876263329E-1,-1.279245070E0
1.443220292E0,-1.085951323E0,-5.617393765E-1,-1.283785433E0
1.453249292E0,-1.045136003E0,-7.628967512E-1,-1.289437936E0
1.463278292E0,-9.219661599E-1,-7.266147780E-1,-1.339349184E0
1.473308292E0,-7.229599759E-1,-6.731609944E-1,-1.546480951E0
1.483337292E0,-4.831209308E-1,-5.814895168E-1,-1.926317834E0
1.493366292E0,-1.149713894E-1,-5.103075600E-1,-2.229905271E0
1.503395292E0,1.132262513E-1,-3.674587660E-1,-2.490441998E0
1.513424292E0,9.287940267E-2,-2.078188151E-1,-2.775957445E0
1.523453292E0,-3.320332637E-1,-2.925975949E-2,-2.879222782E0
1.533482292E0,-9.131340869E-1,-3.967482001E-2,-2.488911197E0
1.543511292E0,-1.296455472E0,-2.129816142E-1,-2.016524584E0
1.553540292E0,-1.492277116E0,-4.201572356E-1,-1.734418648E0
1.563569292E0,-1.121358260E0,-7.395686996E-1,-1.595611011E0
1.573598292E0,-6.549461867E-1,-9.894083838E-1,-1.672106625E0
1.583627292E0,-4.180561117E-1,-1.163823372E0,-1.788263319E0
1.593656292E0,-3.231146884E-1,-1.032384980E0,-1.646313972E0
1.603685292E0,-1.225861361E-1,-3.720494150E-1,-1.734380057E0
1.613714292E0,7.555392454E-2,3.173276626E-1,-2.044547365E0
1.623743292E0,4.658551262E-1,5.304373308E-1,-2.015651010E0
1.633772292E0,5.735624465E-1,6.759580100E-1,-2.146861945E0
1.643801292E0,5.632506259E-1,7.962172557E-1,-2.447899995E0
1.653831292E0,3.124314234E-1,8.740881349E-1,-2.601518630E0
1.663860292E0,-5.329659592E-1,8.246351624E-1,-2.603573341E0
1.673889292E0,-1.089870565E0,6.736743799E-1,-2.313587698E0
1.683918292E0,-1.221982483E0,3.004716016E-1,-1.534152097E0
1.693947292E0,-8.880597644E-1,7.958966821E-2,-1.249955197E0
1.703976292E0,-4.482547878E-1,8.673788935E-2,-1.165413814E0
1.714005292E0,-2.767244326E-1,2.534491704E-1,-1.311404756E0
1.724034292E0,7.332818647E-2,5.374041420E-1,-1.310604857E0
1.734063292E0,4.598826705E-1,8.300175244E-1,-9.317491364E-1
1.744092292E0,5.813333230E-1,1.096176495E0,-3.908436817E-1
1.754121292E0,3.828403784E-1,1.322357614E0,1.374323720E-1
1.764150292E0,1.682683033E-1,1.368709077E0,5.444693327E-1
1.774179292E0,7.876208620E-2,1.203775496E0,8.451647365E-1
1.784208292E0,3.305012932E-1,9.057591400E-1,1.005988310E0
1.794237292E0,5.983533618E-1,7.027148688E-1,1.360345951E0
1.804266292E0,8.098079391E-1,7.273762317E-1,1.969997120E0
1.814295292E0,8.467927475E-1,7.160019355E-1,2.586367909E0
1.824324292E0,7.148382664E-1,4.054006174E-1,2.875584644E0
1.834353292E0,3.939239949E-1,1.649496612E-1,3.670777906E0
1.844383292E0,1.489104289E-1,1.585004747E-1,4.255866092E0
1.854412292E0,2.635588601E-2,1.352819122E-1,3.526406643E0
1.864441292E0,2.398847082E-1,8.599368498E-2,2.785718202E0
1.874470292E0,7.430093475E-1,1.521479134E-1,2.763836167E0
1.884499292E0,1.278117580E0,2.876493886E-1,3.063539883E0
1.894528292E0,1.462107968E0,3.492612076E-1,3.631639568E0
1.904557292E0,1.163512957E0,1.755544639E-1,4.172661967E0
1.914586292E0,7.811938584E-1,-2.567107473E-1,4.066574764E0
1.924615292E0,2.481066243E-1,-7.500146042E-1,3.585248929E0
1.934644292E0,-1.815005340E-1,-1.092723422E0,3.151474405E0
1.944673292E0,-1.795569926E-1,-1.238998830E0,2.718906747E0
1.954702292E0,3.242476596E-1,-1.303619773E0,2.094695426E0
1.964731292E0,8.877976629E-1,-1.283109202E0,1.672503651E0
1.974760292E0,1.152364144E0,-1.091847509E0,2.031172444E0
1.984789292E0,1.230083142E0,-9.499135119E-1,2.284729350E0
1.994818292E0,1.004526945E0,-9.880471520E-1,2.053203583E0
2.004847292E0,6.125301189E-1,-1.014597312E0,1.652398000E0
2.014876292E0,2.646255384E-1,-1.069425337E0,9.986506391E-1
2.024905292E0,-1.500993962E-1,-1.253476244E0,1.374089831E-1
2.034934292E0,-3.434768495E-1,-1.302924100E0,-7.403089571E-1
2.044964292E0,-1.237641765E-1,-1.238093389E0,-1.500211349E0
2.054993292E0,-3.980532620E-1,-1.112901286E0,-2.330020128E0
2.065022292E0,-2.795973341E-1,-7.261214192E-1,-3.267806515E0
2.075051292E0,-1.098666240E-1,-3.222074564E-1,-3.858056622E0
2.085080292E0,-2.071333022E-1,-2.490256056E-2,-4.216384522E0
2.095109292E0,-2.383832346E-1,-9.821012646E-2,-4.180024197E0
2.105138542E0,-1.126174466E-1,-4.171378796E-1,-3.688892580E0
2.115167542E0,-2.622839844E-1,-5.945701768E-1,-3.094475747E0
2.125196542E0,-2.185642799E-1,-6.506290412E-1,-2.583955933E0
2.135225542E0,7.380264234E-2,-6.251278719E-1,-2.361319689E0
2.145254542E0,3.848442557E-1,-4.925928354E-1,-2.616355355E0
2.155283542E0,6.333899146E-1,-2.933303972E-1,-2.810706863E0
2.165312542E0,8.722474314E-1,-4.389446318E-2,-2.900020743E0
2.175341542E0,1.033866153E0,1.617345697E-1,-3.104439402E0
2.185370542E0,9.673056894E-1,2.759320070E-1,-3.296996400E0
2.195399542E0,8.044203146E-1,3.523948766E-1,-3.471188462E0
2.205428542E0,6.125783584E-1,4.198884098E-1,-3.504804690E0
2.215457542E0,3.530958116E-1,4.004073876E-1,-3.285107841E0
2.225486542E0,2.639270154E-1,3.060533537E-1,-2.867733003E0
2.235515542E0,3.936529399E-1,2.559406690E-1,-2.394596193E0
2.245544542E0,5.877438083E-1,3.547817101E-1,-1.987990757E0
2.255573542E0,7.021411107E-1,6.237274638E-1,-1.796828905E0
2.265602542E0,8.242781898E-1,9.585299689E-1,-1.549885785E0
2.275631542E0,1.002460392E0,1.268281833E0,-1.524108920E0
2.285661542E0,1.111852953E0,1.603714083E0,-1.733619919E0
2.295690542E0,1.101794938E0,1.836372309E0,-1.626794797E0
2.305719542E0,8.336965925E-1,1.782993223E0,-8.367956167E-1
2.315748542E0,3.375936735E-1,1.524121637E0,6.018217474E-1
2.325777542E0,-2.298056616E-1,1.269653151E0,2.131328232E0
2.335806542E0,-4.547516657E-1,1.030693673E0,3.020134247E0
2.345835542E0,2.039973673E-1,5.623293605E-1,3.597672508E0
2.355864542E0,1.012285323E0,1.266261327E-1,4.033899354E0
2.365893542E0,9.327346846E-1,4.107986207E-1,4.120951531E0
2.375922542E0,2.492980859E-1,1.259631900E0,3.611673666E0
2.385951542E0,1.031526097E0,1.404837122E0,2.531016412E0
2.395980542E0,6.680854650E-1,1.260674313E0,2.643629107E0
2.406009542E0,-2.955174751E-1,1.113121580E0,3.047934834E0
2.416038542E0,-1.161412418E0,6.840398853E-1,3.528764825E0
2.426067542E0,-1.820721213E0,7.651081681E-4,3.979478148E0
2.436096542E0,-1.896904585E0,-7.259534580E-1,4.591866984E0
2.446125542E0,-1.628841615E0,-1.261541016E0,5.090295925E0
2.456154542E0,-1.235748948E0,-1.476410404E0,5.218607810E0
2.466183542E0,-8.542707516E-1,-1.399338985E0,4.722261647E0
2.476212542E0,-7.643816516E-1,-1.123080119E0,3.349759920E0
2.486241542E0,-9.494031961E-1,-8.680152167E-1,1.558771799E0
2.496270542E0,-9.120062321E-1,-7.686144510E-1,2.541819727E-1
2.506299542E0,-9.705614191E-1,-5.754883732E-1,-5.628138024E-1
2.516328542E0,-1.049701802E0,-4.615743797E-1,-9.187507761E-1
2.526357542E0,-1.001868800E0,-4.133044450E-1,-1.090298728E0
2.536386542E0,-8.758047312E-1,-4.039709732E-1,-1.098218781E0
2.546416542E0,-6.889811479E-1,-4.326256920E-1,-1.015947288E0
2.556445542E0,-7.662225743E-1,-4.055763263E-1,-9.856277204E-1
2.566474542E0,-8.311822897E-1,-3.995015077E-1,-9.670996481E-1
2.576503542E0,-6.793135078E-1,-5.328497458E-1,-9.094525337E-1
2.586532542E0,-4.924866354E-1,-6.293964855E-1,-9.579721445E-1
2.596561542E0,-3.310648187E-1,-6.060415368E-1,-1.048877052E0
2.606590542E0,-2.067433660E-1,-5.687424405E-1,-1.104917352E0
2.616619542E0,-8.581914559E-2,-4.386031544E-1,-1.308323273E0
2.626648542E0,3.993575200E-2,-3.053837013E-1,-1.708273408E0
2.636677542E0,2.414878137E-2,-3.450668536E-1,-2.260449956E0
2.646706542E0,-1.018232672E-1,-4.210568297E-1,-2.477788623E0
2.656735542E0,-4.368726709E-1,-4.327033138E-1,-2.271318761E0
2.666764542E0,-7.137857676E-1,-4.838902782E-1,-1.873400533E0
2.676793542E0,-5.371982469E-1,-7.153229275E-1,-1.590929146E0
2.686822542E0,-2.652192501E-1,-8.172396040E-1,-1.743440318E0
2.696851542E0,-1.376024894E-1,-6.971154289E-1,-1.929347277E0
2.706880542E0,5.920452029E-3,-4.525592887E-1,-2.073844255E0
2.716909542E0,2.962043767E-1,-2.777294411E-1,-2.205598980E0
2.726938542E0,4.202131861E-1,-1.016425882E-1,-2.496132508E0
2.736967542E0,2.780682141E-1,4.557319880E-3,-2.846677764E0
2.746996542E0,1.018507491E-1,2.272651926E-2,-3.024215603E0
2.757025542E0,-8.655370206E-2,3.945511088E-2,-2.924093730E0
2.767054542E0,-3.110332811E-1,8.094139829E-2,-2.564069552E0
2.777083542E0,-6.437342969E-1,9.044429317E-2,-2.040067229E0
2.787112542E0,-7.155872948E-1,3.533925578E-2,-1.508576376E0
2.797141542E0,-4.014121585E-1,9.560197592E-2,-1.329454526E0
2.807170542E0,-6.195819341E-2,3.197358383E-1,-1.538700061E0
2.817199542E0,1.462821694E-1,6.979599130E-1,-1.901034474E0
2.827228542E0,3.697756155E-1,1.087176461E0,-2.166446024E0
2.837257542E0,5.291026307E-1,1.401748477E0,-2.096220964E0
2.847286542E0,5.712775739E-1,1.539556532E0,-1.676657513E0
2.857316542E0,4.980731383E-2,1.285008232E0,-7.110570914E-1
2.867345542E0,-8.900653593E-1,7.679063532E-1,7.998090541E-1
2.877374542E0,-1.672854484E0,1.909368803E-1,2.315752337E0
2.887403542E0,-2.039187223E0,-3.236973269E-1,3.225695452E0
2.897432542E0,-9.121832565E-1,-4.757923231E-1,3.525114993E0
2.907461542E0,4.156952253E-1,-2.524611372E-1,3.463812785E0
2.917490542E0,1.046252383E0,2.597438443E-1,3.128612376E0
2.927519542E0,1.363073969E0,7.907961559E-1,2.769702094E0
2.937548542E0,1.380466074E0,1.116896250E0,2.469016630E0
2.947577542E0,9.713828067E-1,1.238109761E0,2.285952002E0
2.957606542E0,3.644608619E-1,1.217920203E0,2.364658449E0
2.967635542E0,-1.393913811E-1,8.741075769E-1,2.782529131E0
2.977664542E0,-1.450805849E-1,3.167831406E-1,3.323805884E0
2.987693542E0,4.395281474E-1,-8.937673777E-2,3.674608417E0
2.997722542E0,9.559416988E-1,-1.331351070E-1,3.767694921E0
3.007751542E0,1.067444154E0,6.146622330E-2,3.634530432E0
3.017780542E0,1.276347190E0,6.062846348E-2,3.702107872E0
3.027809542E0,1.229457052E0,-3.287684709E-2,3.417292922E0
3.037838542E0,7.918196379E-1,-1.435047054E-1,2.596633866E0
3.047867542E0,4.341196556E-1,-3.515625255E-1,1.712976909E0
3.057896542E0,1.616283331E-1,-5.372199547E-1,9.737227893E-1
3.067925542E0,5.202212948E-2,-5.939281525E-1,4.506694686E-1
3.077954542E0,2.907197250E-2,-5.427349024E-1,7.282473207E-2
3.087983542E0,3.037503364E-2,-5.083816333E-1,-1.831821567E-1
3.098012542E0,-1.866107812E-2,-4.727454852E-1,-3.288725513E-1
3.108040583E0,-1.148139714E-1,-4.567733771E-1,-5.454265219E-1
3.118069584E0,-2.619169802E-1,-3.945278661E-1,-7.721382755E-1
3.128098583E0,-3.874833599E-1,-2.896321794E-1,-7.534002882E-1
3.138127584E0,-4.392707603E-1,-2.233601296E-1,-4.311462003E-1
3.148156583E0,-4.216263120E-1,-2.902733266E-1,-2.888881212E-1
3.158185584E0,-3.557301284E-1,-3.448743340E-1,-4.332634771E-1
3.168214583E0,-3.127707081E-1,-3.335827759E-1,-6.731028146E-1
3.178243584E0,-2.729798574E-1,-2.710437347E-1,-1.100258875E0
3.188272583E0,-1.600355333E-1,-2.297923592E-1,-1.690967989E0
3.198301584E0,5.623786233E-2,-2.056326874E-1,-2.293378551E0
3.208330583E0,2.486133769E-1,-1.912114070E-1,-2.656473686E0
3.218359584E0,2.793597910E-1,-9.583294094E-2,-2.675061985E0
3.228388583E0,2.098145612E-1,-7.009627506E-2,-2.614502957E0
3.238417584E0,3.842183935E-2,-5.577805191E-2,-2.720385507E0
3.248447584E0,-5.724613427E-1,3.419027790E-2,-3.363174017E0
3.258476583E0,-7.437471930E-1,-1.313680784E-1,-3.863810867E0
3.268505584E0,-8.749080607E-1,-3.271523005E-1,-4.236972569E0
3.278534583E0,-1.061615577E0,-3.942860837E-1,-4.587369305E0
3.288563584E0,-1.179926457E0,-3.244368535E-1,-4.513579198E0
3.298592583E0,-1.190419870E0,-1.173123953E-1,-4.173953032E0
3.308621584E0,-9.203977174E-1,3.026445732E-2,-3.870113581E0
3.318650583E0,-6.911050759E-1,1.403727905E-1,-3.521095617E0
3.328679584E0,-7.908228339E-1,2.464119002E-1,-3.249170269E0
3.338708583E0,-7.742855193E-1,2.128411348E-1,-3.090715987E0
3.348737583E0,-6.712511475E-1,1.756636606E-1,-2.920702345E0
3.358766583E0,-5.228064951E-1,2.443185970E-1,-2.609513528E0
3.368795583E0,-4.991405475E-1,4.088845347E-1,-2.218156461E0
3.378824583E0,-5.823223065E-1,5.840565906E-1,-1.599052098E0
3.388853583E0,-8.064565343E-1,6.731877454E-1,-5.808922237E-1
3.398882583E0,-9.565024468E-1,7.857492779E-1,6.103253531E-1
3.408911583E0,-8.080545784E-1,9.005062938E-1,1.442189428E0
3.418940583E0,-4.337120682E-1,9.665698904E-1,1.565973229E0
3.428969583E0,-1.850888606E-2,1.114864635E0,1.192234992E0
3.438998583E0,3.681331326E-1,1.486869172E0,1.074228825E0
3.449027583E0,6.344978888E-1,1.813404445E0,1.540837219E0
3.459056583E0,6.999389762E-1,1.895105836E0,2.273830140E0
3.469085583E0,3.246079211E-1,1.689265572E0,3.033580504E0
3.479114583E0,2.388116162E-2,1.174083481E0,4.081110942E0
3.489143583E0,1.203088740E-1,5.561606942E-1,5.132892306E0
3.499172583E0,2.940993060E-1,1.411823376E-1,5.686225433E0
3.509201583E0,2.601835549E-1,6.596390158E-2,5.568927364E0
3.519230583E0,2.403569622E-1,1.859844348E-1,5.300622026E0
3.529259583E0,5.417874341E-1,2.051768969E-1,5.454161723E0
3.539288584E0,6.764021791E-1,7.347245738E-2,5.873149223E0
3.549317583E0,2.679602786E-1,-1.900405021E-1,6.096343877E0
3.559346584E0,-2.561523382E-1,-5.920459338E-1,5.680847164E0
3.569375583E0,-6.465775055E-1,-1.023327059E0,4.423488223E0
3.579404584E0,-7.908044882E-1,-1.165408552E0,2.880155997E0
3.589433583E0,-7.367229328E-1,-1.150619774E0,1.468157498E0
3.599462584E0,-5.994809608E-1,-1.083210587E0,5.348553407E-1
3.609491583E0,-6.394827864E-1,-8.155018115E-1,-1.817139208E-2
3.619520584E0,-5.984669805E-1,-5.270155402E-1,-2.819948387E-1
3.629549583E0,-1.595567011E-1,-4.985229354E-1,-2.618967891E-1
3.639578584E0,1.405245258E-1,-4.366013601E-1,-1.318114436E-1
3.649607583E0,1.337443138E-1,-3.716307543E-1,-1.012971640E-1
3.659636584E0,2.919902153E-2,-4.669396386E-1,-1.424691635E-1
3.669665583E0,-1.307569713E-1,-7.008819129E-1,-3.049521768E-1
3.679694584E0,-2.486774039E-1,-8.163306543E-1,-4.835834455E-1
3.689723583E0,-3.798422916E-1,-8.822786222E-1,-7.365819418E-1
3.699752584E0,-4.938276212E-1,-9.515019080E-1,-1.151740685E0
3.709781583E0,-5.254051439E-1,-8.847595958E-1,-1.606258791E0
3.719810584E0,-3.854557648E-1,-7.268412115E-1,-2.138640760E0
3.729839583E0,-1.731975974E-1,-5.382148585E-1,-2.798734104E0
3.739868584E0,4.614074416E-2,-3.411677840E-1,-3.232671180E0
3.749897583E0,2.242362618E-1,-2.351150796E-2,-3.193566756E0
3.759926584E0,3.261508917E-1,2.037329270E-1,-2.908057156E0
3.769955583E0,3.817275070E-1,2.634552182E-1,-2.575693817E0
3.779984584E0,4.116198622E-1,1.867189912E-1,-2.358632308E0
3.790013583E0,2.483744451E-1,4.107917503E-2,-2.250357662E0
3.800042584E0,4.308323510E-2,-2.075208995E-1,-2.185589808E0
3.810071583E0,-1.343845839E-1,-4.609308936E-1,-2.220412316E0
3.820100584E0,-2.183140556E-1,-6.197583738E-1,-2.463146610E0
3.830129583E0,-2.429860897E-1,-6.307264347E-1,-2.717885238E0
3.840158584E0,-2.973238993E-1,-4.723636620E-1,-2.789671504E0
3.850187583E0,-2.436857090E-1,-2.440613195E-1,-2.653485759E0
3.860216584E0,-1.270426007E-1,-5.066802397E-2,-2.499153180E0
3.870245583E0,-2.240543403E-1,1.014367662E-1,-2.435078806E0
3.880274584E0,-1.854740459E-1,2.320338893E-1,-2.455106689E0
3.890303583E0,7.276640609E-3,3.100535801E-1,-2.440456490E0
3.900332584E0,1.139052227E-1,3.925615937E-1,-2.438998779E0
3.910361583E0,2.864192806E-1,4.508668122E-1,-2.489823362E0
